GEOID,Latitude,Longitude,block_pop,area_km2,pop_density
171978801191,41.72412021108239,-88.14001524853525,,1.1292268335795812,
171978803043,41.722129124963935,-88.15221929981597,,1.1098977875943787,
170314112001,41.7932625558295,-87.59409551547633,1074.0,0.28923764415146386,3713.2096105636338
170314112002,41.788771598144564,-87.59396514705739,566.0,0.43625244639040217,1297.4139278372936
170314907002,41.708956195407865,-87.62596086523138,751.0,0.2907007983138522,2583.4122381363068
170314907003,41.71070072258891,-87.63077592719533,1394.0,0.5690573846084493,2449.6650736887773
170314908001,41.71064619548223,-87.6082644061853,766.0,0.4482794505684575,1708.7555519858095
170314908002,41.71004873746417,-87.61199815148342,763.0,0.3282651062607754,2324.3408618455755
170314908004,41.70909798265065,-87.61624923639883,642.0,0.29486613458349187,2177.2591854498523
170314909024,41.70558131787753,-87.61031823188009,832.0,0.41195661101607967,2019.6301691770277
170315610004,41.78848369240318,-87.79265838171293,671.0,0.2964738399892072,2263.268826768753
170315610006,41.788353094749944,-87.79947677227074,872.0,0.4572558530462399,1907.028623451692
170315611002,41.787111200723736,-87.76819081753811,786.0,0.29822870767989623,2635.561164164159
170315611003,41.79078170758993,-87.76833445128203,749.0,0.29771033579512984,2515.868312060977
170315611004,41.788859389238276,-87.77253177854044,1179.0,0.44649935240057037,2640.5413438142623
170315701001,41.816201215606654,-87.71891316888383,1257.0,2.7453168000768717,457.87065447776473
170190054023,40.136776532039036,-88.1830651880792,,2.923147711805676,
170190103001,40.293627377266624,-88.1592914477204,,4.449911854402106,
170190104002,40.27209687192263,-88.15060977933602,,235.156510942902,
170190010004,40.120370467808414,-88.26384077625073,,0.8296372130663997,
170190011003,40.110859966328555,-88.26736271482656,,1.1559195059173641,
170190012041,40.06935621376529,-88.28995631669251,,13.004479607894032,
170190055003,40.10927854918365,-88.17827060359598,,2.448912865468965,
170190108004,40.05059021078595,-87.97380020976989,,57.22145733609244,
170190057014,40.087600254963895,-88.19733275814365,,1.4990821356216915,
170290001001,39.6586264920094,-88.02606491778333,,3.2003562652526334,
170290001002,39.57108957068153,-88.2877548848235,,213.11689485063,
170312601001,41.884370867214706,-87.72333017915179,1248.0,0.5876058775038507,2123.8725611484742
170290002001,39.60994023303745,-88.39664759250859,,205.08222558505037,
